 .0022  85.9283 
		
  .0023  79.9406
	
  .0025 72.9861 
	
  .0027  68.4787
	
  .0029  61.4812
	
  .0031  57.1647
	
  .0033  53.8554
	
  .0035  53.7291
	
  .0037  49.3917
	
  .0038  48.0608
	
  .004  46.3998 
	
  .0042  45.8844
	
  .0044  43.6154
	
  .0046  41.6796
	
  .0048  39.9130
	
  .005  41.2670 
	
  .0052  40.3561
	
  .0053  39.3979
	
  .0055  36.1405
	
  .0057  38.1916
	
  .0059  35.6760
	
  .0061  38.6845
	
  .0063  38.4755
	
  .0065  37.5262
	
  .0067  34.8102
	
  .0068  35.3932
	
  .007  34.3955 
	
  .0072  33.7329
	
  .0074  31.6757
	
  .0076  35.4492
	
  .0078  32.8501
	
  .008  33.8865 
	
  .0082  31.3626 
	
  .0084  33.0621 
	
  .0085  32.4206 
	
  .0087  32.2364 
	
  .0092 32.8636 
	
  .0099  31.1728 
	
  .0107  30.8067 
	
  .0114  29.3773 
	
  .0122  27.8451 
	
  .0129  28.0076 
	
  .0137  28.5870 
	
  .0145  27.4977
	
  .0155  27.5203
	
  .0164  27.1718
	
  .0174  27.9940
	
  .0183  27.1161
	
  .0192  25.8784
	
  .0202  25.5094
	
  .0212  24.7932
	
  .0223  24.8557
	
  .0235  24.8767
	
  .0246  24.0750
	
  .0257  24.1845
	
  .0268  23.9080
	
  .0281  23.0543
	
  .0294  22.9503
	
  .0307  22.6658
	
  .032  22.4018 
	
  .0333  22.1190 
	
  .0346  21.9070 
	
  .0359  21.1792 
	
  .0373  20.9453 
	
  .0388  20.9503


