0	93.8	0.844
0.00126	230	1.38
0.00147	190	0.76
0.00171	163	0.489
0.00196	143	0.429
0.00223	129	0.516
0.00251	118	0.472
0.00281	111	0.444
0.00313	106	0.424
0.00347	102	0.408
0.00382	98.2	0.393
0.0042	95.7	0.383
0.00458	93.9	0.376
0.00499	92.2	0.369
0.00541	91.1	0.364
0.00585	89.1	0.356
0.00631	88.1	0.352
0.00678	87.6	0.35
0.00727	86.1	0.344
0.00778	85.3	0.341
0.00831	84.4	0.338
0.00885	83.5	0.334
0.00941	82.8	0.331
0.00999	82.1	0.328
0.01058	81.4	0.326
0.01119	80.4	0.402
0.01182	79.4	0.318
0.01247	78.9	0.394
0.01313	78.4	0.314
0.01381	78.4	0.314
0.01451	76.6	0.306
0.01522	76	0.38
0.01595	74.9	0.374
0.0167	73.9	0.369
0.01747	73.1	0.512
0.0308	62	0.496
0.0323	60.5	0.484
0.0337	59.2	0.474
0.0351	58.8	0.47
0.0366	57.8	0.52
0.038	56	0.504
0.0394	55	0.495
0.0409	55	0.495
0.0423	53.9	0.485
0.0437	53.1	0.478
0.0452	51.7	0.517
0.0466	50	0.5
0.048	49	0.49
0.0495	47.7	0.477
0.0509	47.9	0.479
0.0523	47	0.517
0.0538	45.7	0.503
0.0552	44.8	0.403
0.0566	43.5	0.392
0.0581	43.1	0.388
0.0595	42.5	0.383
0.0609	41.4	0.414
0.0624	40.8	0.408
0.0638	40.7	0.407
0.0652	39.2	0.392
0.0667	38.8	0.388
0.0681	38.5	0.385
0.0695	37.4	0.411
0.071	36.6	0.403
0.0724	36.3	0.399
0.076	34	0.408
0.08	32.1	0.385
0.084	31.4	0.377
0.088	30.3	0.364
0.092	28.4	0.369
0.096	27.1	0.352
0.1	25.3	0.329
0.104	24.1	0.337
0.108	22.4	0.314
0.112	21.8	0.327
0.116	20.4	0.306
0.12	20.1	0.302
0.124	19	0.304
0.128	17.7	0.283
0.132	17	0.272
0.136	17	0.272
0.14	15.9	0.27
0.144	15.5	0.263
0.148	15.4	0.262
0.152	14.7	0.265
0.156	14.1	0.254
0.16	13.3	0.253
0.164	12	0.24
0.168	11.3	0.226
0.172	11	0.22
0.176	10.6	0.223
0.18	9.61	0.211
0.184	9.57	0.211
0.188	9.52	0.209
0.192	8.83	0.203
0.196	8.74	0.201
0.2	8	0.192
0.204	7.54	0.189
0.208	7.18	0.18
0.212	6.85	0.178
0.216	6.58	0.171
0.22	6.62	0.172
0.224	5.8	0.162
0.228	5.98	0.167
0.232	5.7	0.16
0.236	5.47	0.159
0.24	5.43	0.157
0.244	5.01	0.15
0.248	4.92	0.153
0.252	4.54	0.145
0.256	4.14	0.137
0.26	4.26	0.141
0.264	4.34	0.143
0.268	3.8	0.133
0.272	3.68	0.129
0.276	3.64	0.127
0.28	3.41	0.126
0.284	3.64	0.131
0.288	2.93	0.117
0.292	2.86	0.114
0.296	2.91	0.116
0.3	3.09	0.121
0.304	2.88	0.115
0.308	2.61	0.11
0.312	2.15	0.099
0.316	2.33	0.103
0.32	2.15	0.095
0.324	2.02	0.097
0.328	1.89	0.093
0.332	1.92	0.094
0.336	1.89	0.093
0.34	1.9	0.093
0.344	1.73	0.09
0.348	1.78	0.091
0.352	1.66	0.088
0.356	1.62	0.086
0.36	1.63	0.086
0.364	1.5	0.084
0.368	1.33	0.078
0.372	1.41	0.08
0.376	1.41	0.08
0.38	1.15	0.072
0.384	1.09	0.071
0.388	1.12	0.072
0.392	0.989	0.067
0.396	1.01	0.068
0.4	1.02	0.068
0.404	0.819	0.061
0.408	0.952	0.067
0.412	0.883	0.064
0.416	0.828	0.061
0.42	0.833	0.062
0.424	0.791	0.06
0.428	0.782	0.059
0.432	0.819	0.061
0.436	0.81	0.062
0.44	0.718	0.057
0.444	0.644	0.054
0.448	0.736	0.058
0.66	0.0518	0.0026
0.7	0.0379	0.0015
0.74	0.0286	0.0011
0.78	0.0172	0.0006
0.82	0.0114	0.0005
0.86	0.00763	0.00036
0.9	0.00511	0.00029
0.94	0.0033	0.00022
0.98	0.0022	0.00014
1.02	0.00133	0.00007
1.06	0.000806	0.000036
1.1	0.00051	0.000019
1.14	0.000315	0.000015
1.18	0.000171	0.000011
1.22	0.000109	0.000009
1.26	0.0000546	0.0000063
1.275	0.0000408	0.0000046
1.325	0.0000256	0.000003
1.375	0.0000232	0.0000023
1.425	0.00003	0.0000032
1.475	0.000033	0.000003
1.525	0.0000434	0.0000037
1.575	0.0000477	0.0000039
1.625	0.0000508	0.000004
1.675	0.0000575	0.0000044
1.725	0.0000612	0.0000045
1.775	0.0000611	0.0000045
1.825	0.0000616	0.0000045
1.875	0.0000576	0.0000042
1.925	0.0000594	0.0000043
1.975	0.0000575	0.000004
2.05	0.0000535	0.0000034
2.15	0.0000471	0.000003
2.25	0.0000371	0.0000024
2.35	0.0000325	0.000002
2.45	0.000027	0.0000017
2.55	0.0000235	0.0000015
2.65	0.000019	0.0000012
2.75	0.0000166	0.000001
2.85	0.0000141	0.0000009
2.95	0.0000107	0.0000007
3.05	0.00000889	0.00000063
3.15	0.00000709	0.00000052
3.25	0.00000583	0.00000046
3.35	0.00000496	0.00000031
3.45	0.0000048	0.0000003
3.55	0.00000366	0.00000022
3.65	0.00000312	0.00000019
3.75	0.0000023	0.00000015
3.85	0.00000196	0.00000014
3.95	0.00000154	0.00000011
4.05	0.0000015	0.00000011
4.15	0.00000121	0.0000001
4.25	0.00000103	0.00000009
4.35	0.000000809	0.000000078
4.45	0.00000069	0.000000069
4.6	0.000000534	0.000000044
4.8	0.000000343	0.000000033
5	0.000000283	0.00000003
5.2	0.000000208	0.000000025
5.4	0.000000166	0.000000022
5.75	8.43E-08	9.7E-09
6.25	3.86E-08	6.4E-09
6.75	1.59E-08	4.2E-09
7.25	1.05E-08	3.4E-09
7.72	3.32E-09	1.93E-09
8.25	4.58E-09	2.29E-09
8.75	2.38E-09	1.69E-09
9.25	4.73E-09	2.37E-09
9.75	3.82E-09	2.22E-09

