  .0022  84.4043
		
  .0023  76.2488
	
  .0025  71.0087
	
  .0027  64.9349
	
  .0029  59.5229
	
  .0031  60.9112
	
  .0033  54.1355 
	
  .0035  50.0564 
	
  .0037  49.1914 
	
  .0038  46.6146 
	
  .004  41.2643 
	
  .0042  42.8699
	
  .0044  42.8478
	
  .0046  40.3792
	
  .0048  37.4687
	
  .005  40.7611 
	
  .0052  37.0952
	
  .0053  37.5941
	
  .0055  35.9036
	
  .0057  36.5175
	
  .0059  36.9006
	
  .0061  36.4323
	
  .0063  34.7680
	
  .0065  34.0956
	
  .0067  33.4020
	
  .0068  33.180 
	
  .007  32.7942 
	
  .0072  35.5818
	
  .0074  32.2702
	
  .0076  30.4374
	
  .0078  33.4005
	
  .008  31.6991 
	
  .0082  31.2970
	
  .0084  32.2693
	
  .0085  29.9484
	
  .0087  32.3119
	
  .0091  28.9022
	
  .0097  29.1279
	
  .0102  28.0979
	
  .0108  28.3391
	
  .0114  29.1057
	
  .0119  27.5406
	
  .0125  27.6421
	
  .013  26.9791 
	
  .0136  25.3646
	
  .0143  26.1727
	
  .015  26.6322 
	
  .0158  26.1256
	
  .0165  26.0238
	
  .0173  24.1617
	
  .018  25.9523 
	
  .0188  23.9869
	
  .0195  24.3589
	
  .0203  23.5868
	
  .021  24.5518 
	
  .0218  24.6913
	
  .0226  24.4865
	
  .0236  23.9087
	
  .0245  23.4827
	
  .0254  22.8892
	
  .0264  22.189 
	
  .0273  23.2452
	
  .0282  22.2804
	
  .0292  21.9288
	
  .0301  20.5124
	
  .0311  21.1206
	
  .0321  21.3906
	
  .0332  21.1360
	
  .0343  20.8406
	
  .0355  20.4661
	
  .0366  20.0597
	
  .0377  20.0722
	
  .0388  20.3056


